filename	imdb_id	imdb_actor_id	actor_name	imdb_character_id	character_name
b237419ef642b942b483cb0ab67dbd96	0120737	1019674	Sala Baker	0000156	Sauron
b237419ef642b942b483cb0ab67dbd96	0120737	0000293	Sean Bean	0000140	Boromir
b237419ef642b942b483cb0ab67dbd96	0120737	0000949	Cate Blanchett	0000136	Galadriel
b237419ef642b942b483cb0ab67dbd96	0120737	0089217	Orlando Bloom	0000137	Legolas Greenleaf
b237419ef642b942b483cb0ab67dbd96	0120737	0101710	Billy Boyd	0000154	Peregrin 'Pippin' Took
b237419ef642b942b483cb0ab67dbd96	0120737	0190744	Marton Csokas	0028839	Celeborn
b237419ef642b942b483cb0ab67dbd96	0120737	1104283	Megan Edwards	0031816	Mrs. Proudfoot
b237419ef642b942b483cb0ab67dbd96	0120737	1096480	Michael Elsworth	\N	Gondorian Archivist
b237419ef642b942b483cb0ab67dbd96	0120737	0272527	Mark Ferguson	0031817	Gil-Galad
b237419ef642b942b483cb0ab67dbd96	0120737	0000453	Ian Holm	0000153	Bilbo Baggins
b237419ef642b942b483cb0ab67dbd96	0120737	0000489	Christopher Lee	0000149	Saruman
b237419ef642b942b483cb0ab67dbd96	0120737	0538692	Lawrence Makoare	0000159	Lurtz
b74b1bf6e9d40a95f721981455767bc4	0468569	0000288	Christian Bale	0000177	Bruce Wayne
b74b1bf6e9d40a95f721981455767bc4	0468569	0005132	Heath Ledger	0000180	The Joker
b74b1bf6e9d40a95f721981455767bc4	0468569	0001173	Aaron Eckhart	0000190	Harvey Dent
b74b1bf6e9d40a95f721981455767bc4	0468569	0000323	Michael Caine	0000204	Alfred Pennyworth
b74b1bf6e9d40a95f721981455767bc4	0468569	0350454	Maggie Gyllenhaal	0000182	Rachel Dawes
b74b1bf6e9d40a95f721981455767bc4	0468569	0000198	Gary Oldman	0150832	James Gordon
b74b1bf6e9d40a95f721981455767bc4	0468569	0000151	Morgan Freeman	0000187	Lucius Fox
b74b1bf6e9d40a95f721981455767bc4	0468569	1010931	Monique Gabriela Curnen	0117867	Det. Anna Ramirez
b74b1bf6e9d40a95f721981455767bc4	0468569	0212939	Ron Dean	0160629	Det. Michael Wuertz
b74b1bf6e9d40a95f721981455767bc4	0468569	0614165	Cillian Murphy	0000186	Jonathan Crane
b74b1bf6e9d40a95f721981455767bc4	0468569	1977856	Chin Han	0093490	Lau
b74b1bf6e9d40a95f721981455767bc4	0468569	0004801	Nestor Carbonell	0158801	Mayor Anthony Garcia
b74b1bf6e9d40a95f721981455767bc4	0468569	0000616	Eric Roberts	0158800	Salvatore Maroni
b74b1bf6e9d40a95f721981455767bc4	0468569	0182662	Ritchie Coster	0073685	The Chechen
b74b1bf6e9d40a95f721981455767bc4	0468569	0001309	Anthony Michael Hall	0047368	Mike Engel
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	0032370	Noel Appleby	0000163	Everard Proudfoot
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	0040012	Alexandra Astin	0000142	Elanor Gamgee
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	0000276	Sean Astin	0000142	Sam
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	0040058	David Aston	\N	Gondorian Soldier 3
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	0045324	John Bach	0000165	Madril
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	0000293	Sean Bean	0000140	Boromir
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	0000949	Cate Blanchett	0000136	Galadriel
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	0089217	Orlando Bloom	0000137	Legolas
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	0101710	Billy Boyd	0000154	Pippin
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	1480092	Sadwyn Brophy	\N	Eldarion
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	0115143	Alistair Browning	\N	Damrod
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	0190744	Marton Csokas	0028839	Celeborn
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	1480102	Richard Edge	\N	Gondorian Soldier 1
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	1480106	Jason Fitch	\N	Uruk 2
ebc3b474f73ce6cf14ff0f0c2d736e2b	0167260	0384060	Bernard Hill	0000155	Theoden
